,ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,EstimatedLenderProfit,AverageLoanAmount
2326,International Finance Bank,17472,105,43197800.0,1567736.0,411407.61904761905
1093,Cornhusker Bank,42282,104,43182522.0,1499738.02,415216.5576923077
1565,First Community Bank,119475,122,43179274.67,1596839.1,353928.4809016394
2602,Marquette Savings Bank,87473,114,43020478.6,1601864.34,377372.61929824564
2519,Lindell Bank & Trust Company,41315,109,42980413.53,1628443.19,394315.72045871563
4095,The National Bank of Blacksburg,73099,117,42832164.8,1484676.9,366086.8786324786
1181,Digital FCU,109589,101,42764753.0,1437051.17,423413.396039604
3569,State Bank,23892,125,42508925.89,1664443.78,340071.40712
4257,Town Center Bank,443578,87,42503725.99,1320406.07,488548.5745977012
288,Bank 34,81318,93,42465403.0,1482010.15,456617.2365591398
1760,First Northern Bank and Trust Company,61210,71,42457444.0,1247539.16,597992.1690140845
1613,First Federal Savings Bank,82838,96,42457041.01,1493686.41,442260.8438541666
1679,First National Bank,72171,76,42392905.45,1239390.52,557801.3875000001
3889,"The Farmers Bank, Frankfort, Indiana",23150,109,42343956.0,1577555.54,388476.6605504587
27,5Star Bank,110204,86,42236764.27,1381867.85,491125.1659302326
1145,"Dakota Community Bank & Trust, National Association",52846,85,42186049.59,1328016.87,496306.4657647059
4629,iTHINK Financial CU,94399,154,42141205.5,1800521.12,273644.19155844155
1849,First State Bank Nebraska,42246,92,42114315.05,1522196.62,457764.2940217391
1612,First Federal Savings Bank,81266,95,42012979.13,1450881.05,442241.8855789474
2878,Northwest Community Bank,16533,109,41956464.35,1558539.69,384921.69128440367
485,Bath Savings Institution,29592,112,41851750.95,1555631.65,373676.3477678572
636,"Canyon Community Bank, National Association",202881,62,41818909.29,1154666.73,674498.5369354838
764,Ciera Bank,70047,85,41806173.63,1382785.1,491837.33682352945
1811,First Southern National Bank,27159,107,41781029.76,1523413.63,390476.9136448598
2164,Haverhill Bank,89268,68,41771296.04,1163912.82,614283.7652941176
3150,Platte Valley Bank,120881,100,41770121.68,1447558.17,417701.2168
2826,NobleBank & Trust,436345,105,41747540.11,1478262.03,397595.6200952381
1597,First Fed Bank,79284,79,41746755.98,1394904.36,528439.949113924
2505,Liberty National Bank,323257,92,41718063.07,1321108.51,453457.2072826087
3177,Premier Bank,123109,82,41712952.25,1255480.19,508694.5396341463
508,Benchmark Bank,71639,93,41690096.12,1430538.7,448280.60344086017
1356,Farmers & Merchants Bank,30550,109,41606842.23,1595358.04,381714.14889908256
2397,Kearny Bank,80086,78,41566346.12,1367154.83,532901.8733333333
423,Bank of Travelers Rest,66363,133,41428959.0,1655208.25,311495.93233082705
4427,Valley Bank of Nevada,434921,77,41412500.0,1341247.0,537824.6753246753
907,Coastal Heritage Bank,89718,89,41389019.3,1389844.06,465045.16067415726
4034,The Genoa Banking Company,57605,104,41363900.0,1512035.0,397729.8076923077
4058,The Honesdale National Bank,60376,100,41310599.68,1497291.82,413105.9968
113,Amalgamated Bank,47473,57,41296778.0,1139722.62,724504.8771929825
2656,Metairie Bank & Trust Company,28435,115,41287401.0,1542686.15,359020.8782608696
471,"BankWest, Inc",66573,77,41043131.0,1267010.03,533027.6753246753
2911,Oconee State Bank,19810,112,41033044.0,1502889.81,366366.46428571426
3532,Southwest National Bank,26707,84,41015967.23,1320456.06,488285.3241666666
1655,First Liberty Bank,59064,105,40920218.7,1452670.41,389716.3685714286
3576,State Bank Financial,122709,95,40918069.0,1435012.28,430716.51578947366
3465,Silver Lake Bank,26434,80,40785800.0,1233300.0,509822.5
169,American National Bank & Trust,72167,110,40774613.66,1487918.77,370678.306
4213,The Village Bank,89088,100,40766657.49,1435161.6,407666.5749
292,Bank Forward,52827,89,40670304.68,1439006.21,456969.71550561796
3280,"Resource Bank, National Association",21856,97,40631854.0,1433931.82,418885.09278350516
4622,"Yosemite Farm Credit, Aca",528996,81,40567630.0,1248764.22,500834.93827160494
4370,United Bank of Michigan,36555,101,40405441.55,1418154.28,400053.87673267326
3405,Security First Bank,42215,82,40313492.25,1349775.34,491627.9542682927
1525,"First Bank, Upper Michigan",34945,99,40173730.19,1410565.91,405795.25444444444
406,Bank of Pontiac,22347,85,40154962.07,1377957.31,472411.31847058824
4017,The First State Bank,70851,94,40088326.33,1433312.01,426471.5567021276
522,Blackhawk Bank & Trust,21972,78,40012100.0,1279981.0,512975.641025641
3804,The Citizens Bank,4115,92,39925761.85,1306950.16,433975.6722826087
440,Bank of the Flint Hills,26643,80,39925053.85,1372388.36,499063.17312500003
1933,Flagship Bank Minnesota,38227,81,39871081.12,1274593.45,492235.569382716
4084,The Merchants National Bank,57641,97,39814848.22,1320925.9,410462.35278350516
2216,Hilltop National Bank,77115,91,39807981.0,1350212.23,437450.34065934067
